ID,ChangeSetID,TimeStamp,ReplicationTime,User,Cube,Tuple,OldValue,NewValue,StatusMessage
1484,18C,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Version', 'Test123']",,READ,
1483,18B,2022-08-17T16:55:47Z,,,,,,,Change set 18B complete : 1
1482,18B,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Version', '12345']",WRITE,READ,
1481,18A,2022-08-17T16:55:47Z,,,,,,,Change set 18A complete : 1
1480,18A,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Vehicles', 'Test123']",,READ,
1479,189,2022-08-17T16:55:47Z,,,,,,,Change set 189 complete : 1
1478,189,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Vehicles', '12345']",WRITE,READ,
1477,188,2022-08-17T16:55:47Z,,,,,,,Change set 188 complete : 1
1476,188,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_tMonth', 'Test123']",,READ,
1475,187,2022-08-17T16:55:47Z,,,,,,,Change set 187 complete : 1
1474,187,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_tMonth', '12345']",WRITE,READ,
1473,186,2022-08-17T16:55:47Z,,,,,,,Change set 186 complete : 1
1472,186,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_TM1Py Region', 'Test123']",,READ,
1471,185,2022-08-17T16:55:47Z,,,,,,,Change set 185 complete : 1
1470,185,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_TM1Py Region', '12345']",WRITE,READ,
1469,184,2022-08-17T16:55:47Z,,,,,,,Change set 184 complete : 1
1468,184,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_TestDim', 'Test123']",,READ,
1467,183,2022-08-17T16:55:47Z,,,,,,,Change set 183 complete : 1
1466,183,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_TestDim', '12345']",,READ,
1465,182,2022-08-17T16:55:47Z,,,,,,,Change set 182 complete : 1
1464,182,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS LineNo', 'Test123']",,READ,
1463,180,2022-08-17T16:55:47Z,,,,,,,Change set 180 complete : 1
1462,180,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Sys_Promote', 'Test123']",,READ,
1461,17f,2022-08-17T16:55:47Z,,,,,,,Change set 17f complete : 1
1460,17f,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Sys_Promote', '12345']",,READ,
1459,17e,2022-08-17T16:55:47Z,,,,,,,Change set 17e complete : 1
1458,17e,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_PAW_Colunm', 'Test123']",,READ,
1457,17d,2022-08-17T16:55:47Z,,,,,,,Change set 17d complete : 1
1456,17d,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_PAW_Colunm', '12345']",,READ,
1455,17c,2022-08-17T16:55:47Z,,,,,,,Change set 17c complete : 1
1454,17c,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_mLogDeletions', 'Test123']",,READ,
1453,17b,2022-08-17T16:55:47Z,,,,,,,Change set 17b complete : 1
1452,17b,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_mLogDeletions', '12345']",WRITE,READ,
1451,17a,2022-08-17T16:55:47Z,,,,,,,Change set 17a complete : 1
1450,17a,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_mBackupFiles', 'Test123']",,READ,
1449,17F,2022-08-17T16:55:47Z,,,,,,,Change set 17F complete : 1
1448,17F,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_mBackupFiles', '12345']",WRITE,READ,
1447,17E,2022-08-17T16:55:47Z,,,,,,,Change set 17E complete : 1
1446,17E,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_LogDeletions', 'Test123']",,READ,
1445,17D,2022-08-17T16:55:47Z,,,,,,,Change set 17D complete : 1
1444,17D,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_LogDeletions', '12345']",WRITE,READ,
1443,17C,2022-08-17T16:55:47Z,,,,,,,Change set 17C complete : 1
1442,17C,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_BackupIndex', 'Test123']",,READ,
1441,17B,2022-08-17T16:55:47Z,,,,,,,Change set 17B complete : 1
1440,17B,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_SYS_BackupIndex', '12345']",WRITE,READ,
1439,17A,2022-08-17T16:55:47Z,,,,,,,Change set 17A complete : 1
1438,17A,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Run Book Index', 'Test123']",,READ,
1437,179,2022-08-17T16:55:47Z,,,,,,,Change set 179 complete : 1
1436,179,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Run Book Index', '12345']",,READ,
1435,178,2022-08-17T16:55:47Z,,,,,,,Change set 178 complete : 1
1434,178,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Run Book', 'Test123']",,READ,
1433,177,2022-08-17T16:55:47Z,,,,,,,Change set 177 complete : 1
1432,177,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Run Book', '12345']",,READ,
1431,176,2022-08-17T16:55:47Z,,,,,,,Change set 176 complete : 1
1430,176,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Promotion Job Index', 'Test123']",,READ,
1429,175,2022-08-17T16:55:47Z,,,,,,,Change set 175 complete : 1
1428,175,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Promotion Job Index', '12345']",,READ,
1427,174,2022-08-17T16:55:47Z,,,,,,,Change set 174 complete : 1
1426,174,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Promotion Job', 'Test123']",,READ,
1425,173,2022-08-17T16:55:47Z,,,,,,,Change set 173 complete : 1
1424,173,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Promotion Job', '12345']",,READ,
1423,172,2022-08-17T16:55:47Z,,,,,,,Change set 172 complete : 1
1422,172,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Process Log Run', 'Test123']",,READ,
1421,171,2022-08-17T16:55:47Z,,,,,,,Change set 171 complete : 1
1420,171,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Process Log Run', '12345']",,READ,
1419,170,2022-08-17T16:55:47Z,,,,,,,Change set 170 complete : 1
1418,170,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Process Log Line', 'Test123']",,READ,
1417,16f,2022-08-17T16:55:47Z,,,,,,,Change set 16f complete : 1
1416,16f,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Process Log Line', '12345']",,READ,
1415,16e,2022-08-17T16:55:47Z,,,,,,,Change set 16e complete : 1
1414,16e,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_plan_chart_of_accounts', 'Test123']",,READ,
1413,16d,2022-08-17T16:55:47Z,,,,,,,Change set 16d complete : 1
1412,16d,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_plan_chart_of_accounts', '12345']",,READ,
1411,16c,2022-08-17T16:55:47Z,,,,,,,Change set 16c complete : 1
1410,16c,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mUSerSelections', 'Test123']",,READ,
1409,16b,2022-08-17T16:55:47Z,,,,,,,Change set 16b complete : 1
1408,16b,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mUSerSelections', '12345']",,READ,
1407,16a,2022-08-17T16:55:47Z,,,,,,,Change set 16a complete : 1
1406,16a,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Subset Control', 'Test123']",,READ,
1405,16F,2022-08-17T16:55:47Z,,,,,,,Change set 16F complete : 1
1404,16F,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Subset Control', '12345']",WRITE,READ,
1403,16E,2022-08-17T16:55:47Z,,,,,,,Change set 16E complete : 1
1402,16E,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Process Status', 'Test123']",,READ,
1401,16D,2022-08-17T16:55:47Z,,,,,,,Change set 16D complete : 1
1400,16D,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Process Status', '12345']",WRITE,READ,
1399,16C,2022-08-17T16:55:47Z,,,,,,,Change set 16C complete : 1
1398,16C,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Hierarchy Control', 'Test123']",,READ,
1397,16B,2022-08-17T16:55:47Z,,,,,,,Change set 16B complete : 1
1396,16B,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Hierarchy Control', '12345']",WRITE,READ,
1395,16A,2022-08-17T16:55:47Z,,,,,,,Change set 16A complete : 1
1394,16A,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Form Filter', 'Test123']",,READ,
1393,169,2022-08-17T16:55:47Z,,,,,,,Change set 169 complete : 1
1392,169,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSYS Form Filter', '12345']",WRITE,READ,
1391,168,2022-08-17T16:55:47Z,,,,,,,Change set 168 complete : 1
1390,168,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSecurity', 'Test123']",,READ,
1389,167,2022-08-17T16:55:47Z,,,,,,,Change set 167 complete : 1
1388,167,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mSecurity', '12345']",,READ,
1387,166,2022-08-17T16:55:47Z,,,,,,,Change set 166 complete : 1
1386,166,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mRun Book Control', 'Test123']",,READ,
1385,165,2022-08-17T16:55:47Z,,,,,,,Change set 165 complete : 1
1384,165,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mRun Book Control', '12345']",,READ,
1383,164,2022-08-17T16:55:47Z,,,,,,,Change set 164 complete : 1
1382,164,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Months', 'Test123']",,READ,
1381,163,2022-08-17T16:55:47Z,,,,,,,Change set 163 complete : 1
1380,163,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Months', '12345']",WRITE,READ,
1379,162,2022-08-17T16:55:47Z,,,,,,,Change set 162 complete : 1
1378,162,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Month', 'Test123']",,READ,
1377,161,2022-08-17T16:55:47Z,,,,,,,Change set 161 complete : 1
1376,161,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_Month', '12345']",WRITE,READ,
1375,160,2022-08-17T16:55:47Z,,,,,,,Change set 160 complete : 1
1374,160,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mExportControl', 'Test123']",,READ,
1373,15f,2022-08-17T16:55:47Z,,,,,,,Change set 15f complete : 1
1372,15f,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mExportControl', '12345']",,READ,
1371,15e,2022-08-17T16:55:47Z,,,,,,,Change set 15e complete : 1
1370,15e,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mDataUpdate Scenario', 'Test123']",,READ,
1369,15d,2022-08-17T16:55:47Z,,,,,,,Change set 15d complete : 1
1368,15d,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mDataUpdate Scenario', '12345']",,READ,
1367,15c,2022-08-17T16:55:47Z,,,,,,,Change set 15c complete : 1
1366,15c,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mData Control', 'Test123']",,READ,
1365,15b,2022-08-17T16:55:47Z,,,,,,,Change set 15b complete : 1
1364,15b,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mData Control', '12345']",,READ,
1363,15a,2022-08-17T16:55:47Z,,,,,,,Change set 15a complete : 1
1362,15a,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mControl', 'Test123']",,READ,
1361,15F,2022-08-17T16:55:47Z,,,,,,,Change set 15F complete : 1
1360,15F,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mControl', '12345']",WRITE,READ,
1359,15E,2022-08-17T16:55:47Z,,,,,,,Change set 15E complete : 1
1358,15E,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mCapEx Assumptions', 'Test123']",,READ,
1357,15D,2022-08-17T16:55:47Z,,,,,,,Change set 15D complete : 1
1356,15D,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mCapEx Assumptions', '12345']",,READ,
1355,15C,2022-08-17T16:55:47Z,,,,,,,Change set 15C complete : 1
1354,15C,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}ElementAttributes_mBudget Upload Validation', 'Test123']",,READ,
1353,15B,2022-08-17T16:55:47Z,,,,,,,Change set 15B complete : 1
